a = 27, b = 20, n = 2000, Motif_Counting_second_paper = 51.0% (479sec), Expansion_algorithm = 53.0% (70sec), Spectral_k_means = 100.0% (30sec), 
a = 28, b = 20, n = 2000, Motif_Counting_second_paper = 51.0% (496sec), Expansion_algorithm = 54.0% (89sec), Spectral_k_means = 100.0% (30sec), 
a = 29, b = 20, n = 2000, Motif_Counting_second_paper = 52.0% (513sec), Expansion_algorithm = 58.0% (120sec), Spectral_k_means = 100.0% (31sec), 
a = 30, b = 20, n = 2000, Motif_Counting_second_paper = 57.0% (533sec), Expansion_algorithm = 61.0% (153sec), Spectral_k_means = 100.0% (35sec), 
a = 31, b = 20, n = 2000, Motif_Counting_second_paper = 100.0% (550sec), Expansion_algorithm = 64.0% (205sec), Spectral_k_means = 100.0% (36sec), 
a = 32, b = 20, n = 2000, Motif_Counting_second_paper = 100.0% (569sec), Expansion_algorithm = 72.0% (267sec), Spectral_k_means = 100.0% (35sec), 
a = 33, b = 20, n = 2000, Motif_Counting_second_paper = 100.0% (586sec), Expansion_algorithm = 80.0% (305sec), Spectral_k_means = 100.0% (36sec), 
a = 34, b = 20, n = 2000, Motif_Counting_second_paper = 100.0% (603sec), Expansion_algorithm = 95.0% (276sec), Spectral_k_means = 100.0% (37sec), 
a = 35, b = 20, n = 2000, Motif_Counting_second_paper = 100.0% (620sec), Expansion_algorithm = 98.0% (211sec), Spectral_k_means = 100.0% (35sec), 
a = 2, b = 2, n = 4000, Motif_Counting_second_paper = 100.0% (18sec), Expansion_algorithm = 51.0% (5sec), Spectral_k_means = 50.0% (10sec), 
a = 3, b = 2, n = 4000, Motif_Counting_second_paper = 100.0% (25sec), Expansion_algorithm = 51.0% (7sec), Spectral_k_means = 50.0% (10sec), 
a = 4, b = 2, n = 4000, Motif_Counting_second_paper = 100.0% (32sec), Expansion_algorithm = 51.0% (9sec), Spectral_k_means = 50.0% (11sec), 
a = 5, b = 2, n = 4000, Motif_Counting_second_paper = 100.0% (39sec), Expansion_algorithm = 51.0% (15sec), Spectral_k_means = 55.0% (15sec), 
a = 6, b = 2, n = 4000, Motif_Counting_second_paper = 99.0% (47sec), Expansion_algorithm = 53.0% (26sec), Spectral_k_means = 61.0% (22sec), 
a = 7, b = 2, n = 4000, Motif_Counting_second_paper = 95.0% (57sec), Expansion_algorithm = 58.0% (47sec), Spectral_k_means = 66.0% (25sec), 
a = 8, b = 2, n = 4000, Motif_Counting_second_paper = 85.0% (68sec), Expansion_algorithm = 72.0% (91sec), Spectral_k_means = 67.0% (26sec), 
a = 9, b = 2, n = 4000, Motif_Counting_second_paper = 79.0% (95sec), Expansion_algorithm = 97.0% (65sec), Spectral_k_means = 68.0% (27sec), 
a = 10, b = 2, n = 4000, Motif_Counting_second_paper = 98.0% (95sec), Expansion_algorithm = 100.0% (61sec), Spectral_k_means = 76.0% (31sec), 
a = 11, b = 2, n = 4000, Motif_Counting_second_paper = 100.0% (110sec), Expansion_algorithm = 100.0% (69sec), Spectral_k_means = 84.0% (32sec), 
a = 12, b = 2, n = 4000, Motif_Counting_second_paper = 100.0% (117sec), Expansion_algorithm = 100.0% (78sec), Spectral_k_means = 87.0% (30sec), 
a = 13, b = 2, n = 4000, Motif_Counting_second_paper = 100.0% (129sec), Expansion_algorithm = 100.0% (89sec), Spectral_k_means = 89.0% (30sec), 
a = 14, b = 2, n = 4000, Motif_Counting_second_paper = 100.0% (138sec), Expansion_algorithm = 100.0% (102sec), Spectral_k_means = 91.0% (30sec), 
a = 5, b = 5, n = 4000, Motif_Counting_second_paper = 55.0% (69sec), Expansion_algorithm = 51.0% (14sec), Spectral_k_means = 50.0% (14sec), 
a = 6, b = 5, n = 4000, Motif_Counting_second_paper = 56.0% (82sec), Expansion_algorithm = 51.0% (17sec), Spectral_k_means = 50.0% (17sec), 
a = 7, b = 5, n = 4000, Motif_Counting_second_paper = 54.0% (94sec), Expansion_algorithm = 51.0% (19sec), Spectral_k_means = 69.0% (40sec), 
